gene_id,Flight_Rep1,Flight_Rep2,Flight_Rep3,GC_Rep1,GC_Rep2,GC_Rep3
b0256,974,600,740,858,498,956
b0257,844,841,1797,1181,743,816
b0258,912,793,1044,587,895,900
b0259,1109,1136,1174,758,1447,735
b0260,632,1256,1718,1172,940,576
b0261,822,1224,1043,671,737,1023
b0262,1362,763,846,869,1099,915
b0263,1059,1058,1128,1600,970,875
b0264,1603,993,765,1243,898,1032
b0265,1202,529,893,1335,966,678
b0266,1247,1195,744,2057,656,833
b0267,1357,778,1651,1084,920,1142
b0268,1282,1008,1281,1061,1133,493
b0269,813,640,1251,906,1065,700
b0270,950,653,1199,885,954,1119
b0271,1041,518,1057,553,1095,1760
b0272,586,374,1195,788,1353,968
b0273,1349,1476,732,992,927,933
b0274,670,1219,1067,633,717,784
b0275,411,788,835,765,786,1028
b0276,722,1069,737,713,1086,1348
b0277,931,368,1608,693,1207,661
b0278,555,724,634,737,1391,509
b0279,976,549,976,1032,822,1742
b0280,1267,1449,1210,440,1023,1118
b0281,1464,811,722,1092,627,754
b0282,1346,691,1789,1017,873,989
b0283,550,817,1250,1262,614,738
b0284,987,1243,971,1223,1298,868
b0285,1615,677,1561,1033,1101,992
b0286,911,669,756,1026,1147,714
b0287,1281,731,1523,696,1634,953
b0288,970,1287,1620,638,1125,1074
b0289,991,1246,861,1068,927,636
b0290,948,707,1308,656,840,822
b0291,1836,1567,1331,979,956,649
b0292,1097,822,894,388,911,750
b0293,806,1094,2017,1102,663,867
b0294,1014,1336,941,662,1012,1033
b0295,1471,876,680,689,1346,1377
b0296,932,982,1929,830,789,574
b0297,783,858,666,951,644,813
b0298,454,907,815,1164,893,938
b0299,1123,972,815,941,485,977
b0300,1005,597,858,1139,1078,940
b0301,1091,844,788,1214,765,353
b0302,1101,1101,793,860,643,785
b0303,834,584,740,806,513,1107
b0304,1141,438,1091,1438,1289,1336
b0305,1357,903,642,1394,1569,987
b0306,882,1165,1161,1136,668,1180
b0307,520,942,970,1288,935,1374
b0308,978,1156,1785,801,867,1030
b0309,706,1050,804,795,924,530
b0310,1178,1285,1300,1886,1069,971
b0311,765,1056,748,918,833,958
b0312,1179,710,764,1732,1210,759
b0313,722,656,1050,1017,934,704
b0314,945,965,899,1090,1364,916
b0315,1496,875,502,1114,1144,1320
b0316,684,1652,1233,1058,534,580
b0317,833,900,1084,1107,1037,1558
b0318,939,980,1182,983,1388,940
b0319,650,1217,1505,1531,691,893
b0320,696,440,961,778,554,956
b0321,1089,617,1668,716,652,691
b0322,773,1264,977,1357,583,802
b0323,961,952,775,887,653,1072
b0324,1314,965,709,731,1322,573
b0325,1087,716,767,1153,818,616
b0326,455,1276,567,824,1932,962
b0327,1016,1130,1716,1353,575,1486
b0328,848,792,1224,1308,1221,899
b0329,1077,915,1419,984,1020,642
b0330,1133,677,449,715,1231,808
b0331,1320,1066,1438,1130,1567,465
b0332,1246,1784,735,730,968,1228
b0333,2040,914,1030,870,680,996
b0334,1651,814,823,975,908,954
b0335,801,1319,1057,1141,709,1158
b0336,1054,938,1271,976,1348,667
b0337,967,1194,977,1287,1024,1004
b0338,625,1384,656,486,949,991
b0339,805,1384,1124,803,913,980
b0340,1190,1710,1716,900,1205,984
b0341,1289,944,697,1424,1388,1282
b0342,977,811,824,1098,652,700
b0343,702,1384,844,1025,2187,1244
b0344,946,498,812,681,830,1380
b0345,769,1170,610,842,1185,1129
b0346,879,1049,1001,515,916,908
b0347,1293,962,932,850,1021,572
b0348,719,994,526,1491,805,1133
b0349,797,596,839,862,977,1591
b0350,930,1005,1400,1055,754,957
b0351,1666,944,734,822,1605,943
b0352,1003,723,589,433,788,440
b0353,1260,1457,1051,1676,654,912
b0354,1105,509,653,966,818,592
b0355,970,1500,1052,1000,581,639
b0356,1054,739,978,1465,2019,1247
b0357,1295,714,663,850,857,939
b0358,1332,837,1245,738,670,787
b0359,721,716,914,1555,909,920
b0360,1331,608,764,839,852,1029
b0361,915,1494,1479,1010,2076,1156
b0362,1111,691,1249,740,1385,1191
b0363,1238,1312,900,1080,877,640
b0364,945,1391,575,841,722,1010
b0365,1163,872,844,1052,944,925
b0366,1179,836,977,828,785,919
b0367,663,718,573,786,1514,1696
b0368,732,1084,1011,1154,660,676
b0369,589,813,1009,928,833,925
b0370,800,1153,604,1477,1068,593
b0371,898,1246,589,1101,568,1300
b0372,954,1821,828,829,756,788
b0373,698,767,1002,800,1349,869
b0374,1066,770,1409,1192,915,987
b0375,1756,1282,259,885,855,1485
b0376,972,1848,1252,1201,801,775
b0377,973,1021,996,851,939,1391
b0378,562,995,661,1251,1434,1358
b0379,811,527,1332,1150,676,892
b0380,1078,1003,1225,756,1018,1645
b0381,753,766,1069,783,1033,671
b0382,522,2197,810,1440,1600,1468
b0383,1160,1215,995,1299,186,1364
b0384,685,1132,814,1042,1172,1063
b0385,818,1794,1344,1259,893,1431
b0386,825,673,855,1041,1211,674
b0387,771,825,710,1374,999,684
b0388,1274,1300,692,985,714,2122
b0389,717,835,927,939,1295,1038
b0390,989,897,856,1098,1800,1299
b0391,637,832,844,668,606,674
b0392,1536,1070,761,1228,1093,1357
b0393,772,963,906,1028,851,709
b0394,718,1007,1004,986,1019,722
b0395,688,778,711,1519,1124,1424
b0396,1114,828,870,911,1165,768
b0397,1117,1377,612,941,979,1134
b0398,739,1339,893,1004,1139,1472
b0399,1056,1252,1031,1646,639,779
b0400,874,1261,418,982,1073,1320
b0401,424,1149,1730,431,1659,1038
b0402,795,1270,2014,1089,835,1189
b0403,932,673,728,1230,1136,665
b0404,1483,1315,1593,738,1004,631
b0405,872,1582,834,1292,1343,1597
b0406,1052,553,632,1467,1128,885
b0407,1619,837,1626,1087,608,868
b0408,1073,652,918,834,1028,479
b0409,748,1404,496,844,728,1380
b0410,631,1208,819,1569,1336,911
b0411,1235,865,969,936,1379,1352
b0412,729,957,923,932,1214,563
b0413,873,1289,746,1212,825,1112
b0414,1015,976,1122,1407,539,838
b0415,460,891,1053,897,689,1814
b0416,671,1040,699,733,1523,1077
b0417,648,951,1193,929,1441,1688
b0418,918,997,841,1304,1047,846
b0419,1124,1464,1111,970,924,1227
b0420,1537,1274,777,1183,904,1292
b0421,847,734,1019,1483,950,885
b0422,1029,1049,936,1253,887,883
b0423,1098,858,1259,774,664,521
b0424,1718,1172,894,625,644,715
b0425,829,1554,1199,1323,893,925
b0426,1452,1161,761,556,760,812
b0427,532,1270,1159,815,911,1002
b0428,1055,1358,846,868,877,923
b0429,1568,688,555,806,860,1016
b0430,1270,810,1359,1020,903,794
b0431,719,1374,589,1162,892,1089
b0432,698,846,573,2075,842,696
b0433,1192,676,1348,857,857,1096
b0434,1089,1602,661,1014,682,1244
b0435,1110,1326,899,827,860,1057
b0436,1140,1518,901,998,889,1016
b0437,1143,832,1087,1258,1097,721
b0438,640,656,694,1307,1291,1138
b0439,801,551,885,841,1408,595
b0440,737,1103,975,435,1661,1563
b0441,581,695,934,829,1176,1263
b0442,1054,1169,614,766,928,1047
b0443,1541,564,1402,815,1108,882
b0444,1433,904,1189,1048,545,902
b0445,818,669,1091,1211,779,1157
b0446,818,826,811,1660,1184,1471
b0447,1754,808,501,1196,566,1047
b0448,1272,863,1135,878,332,1129
b0449,1338,592,988,1272,1695,898
b0450,882,1508,937,826,1350,1162
b0451,1408,1026,881,898,682,523
b0452,1272,732,996,1000,1007,1159
b0453,1152,744,690,831,832,1076
b0454,744,881,1441,574,1252,1120
b0455,907,651,855,1303,1040,1043
b0456,173,1129,1128,1018,557,942
b0457,1180,1093,938,1073,1239,606
b0458,803,719,975,939,885,544
b0459,832,834,646,1470,671,1217
b0460,720,872,1213,634,871,1468
b0461,940,820,1059,608,842,875
b0462,1291,654,795,1247,700,1037
b0463,924,828,774,711,797,1622
b0464,942,1390,720,660,1139,1081
b0465,1408,1142,1268,1140,875,792
b0466,710,752,481,705,806,1015
b0467,1237,1258,773,1649,994,904
b0468,1104,813,930,938,1138,995
b0469,653,1155,1220,1553,791,664
b0470,1250,858,1106,1550,821,668
b0471,1153,1050,781,828,701,1695
b0472,751,636,1115,375,688,858
b0473,882,1203,548,816,952,1317
b0474,1038,912,1667,1355,1465,1350
b0475,637,651,1303,990,1466,1093
b0476,1504,559,482,686,466,1060
b0477,1310,636,1338,933,1516,835
b0478,1130,727,830,937,1199,1049
b0479,1716,1268,1334,947,776,747
b0480,1347,1094,1034,599,775,1215
b0481,1369,1698,1014,1096,1655,879
b0482,808,477,1181,844,1191,2007
b0483,990,763,578,1553,1027,1118
b0484,868,916,828,919,1359,833
b0485,974,967,995,748,1285,976
b0486,959,805,1010,967,988,765
b0487,1121,739,813,1510,744,1319
b0488,1055,634,595,1161,677,763
b0489,1409,1059,853,465,994,1303
b0490,543,939,1492,835,1329,635
b0491,889,1145,750,558,902,1436
b0492,1369,1168,604,1062,671,2072
b0493,1274,971,905,1283,1353,749
b0494,1135,913,1059,1086,1069,1421
b0495,1314,1583,748,650,749,1067
b0496,832,522,1107,642,1357,466
b0497,1193,899,1314,1066,531,748
b0498,1377,937,1097,427,954,700
b0499,919,607,1492,983,1130,733
b0500,395,629,653,253,1243,956
